titulo,autor,preco,quantidade_estoque
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.0,2
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,8.0,44
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,8.0,39
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,6.0,39
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,20.0,47
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,5.0,10
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,16.0,43
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,1.0,29
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,14.0,48
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,9.0,2
Eclipse (Twilight Sagas),Stephenie Meyer,7.0,40
Eclipse (Twilight),Stephenie Meyer,18.0,20
Educated: A Memoir,Tara Westover,15.0,38
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,9.0,25
Fahrenheit 451,Ray Bradbury,8.0,4
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,15.0,4
Fear: Trump in the White House,Bob Woodward,2.0,43
Fifty Shades Darker,E L James,7.0,22
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,11.0,41
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,14.0,42
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,32.0,28
Fire and Fury: Inside the Trump White House,Michael Wolff,6.0,14
First 100 Words,Roger Priddy,4.0,31
Food Rules: An Eater's Manual,Michael Pollan,9.0,47
Frozen (Little Golden Book),RH Disney,27.8,39
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,9.0,7
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,5.0,25
George Washington's Sacred Fire,Peter A. Lillback,20.0,43
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,16.0,7
Giraffes Can't Dance,Giles Andreae,4.0,47
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,12.0,49
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,12.0,8
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,11.0,11
Go Set a Watchman: A Novel,Harper Lee,19.0,8
Go the F**k to Sleep,Adam Mansbach,9.0,16
Going Rogue: An American Life,Sarah Palin,6.0,8
Gone Girl,Gillian Flynn,10.0,32
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,6.0,30
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,14.0,6
Goodnight Moon,Margaret Wise Brown,5.0,7
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,7.0,46
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,10.0,36
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,14.0,17
Guts,Raina Telgemeier,7.0,34
Hamilton: The Revolution,Lin-Manuel Miranda,54.0,38
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,11.0,46
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,30.0,14
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,12.0,49
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,18.0,11
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,30.0,36
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,22.0,36
Harry Potter Coloring Book,Scholastic,9.0,32
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,52.0,42
Have a Little Faith: A True Story,Mitch Albom,4.0,32
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,10.0,25
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,14.0,32
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,22.0,35
How to Win Friends & Influence People,Dale Carnegie,11.0,4
Howard Stern Comes Again,Howard Stern,16.0,23
Humans of New York,Brandon Stanton,15.0,2
Humans of New York : Stories,Brandon Stanton,17.0,40
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,17.0,29
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,7.0,24
"I, Alex Cross",James Patterson,7.0,8
If Animals Kissed Good Night,Ann Whitford Paul,4.0,24
If I Stay,Gayle Forman,9.0,1
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,21.0,48
Inferno,Dan Brown,14.0,31
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,20.0,19
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,13.0,12
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,12.0,9
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,8.0,16
JOURNEY TO THE ICE P,RH Disney,19.6,21
Joyland (Hard Case Crime),Stephen King,12.0,8
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,17.0,19
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,12.0,43
Killing Kennedy: The End of Camelot,Bill O'Reilly,25.0,13
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,10.0,31
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,6.0,38
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,5.0,28
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,6.0,20
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,8.0,1
Knock-Knock Jokes for Kids,Rob Elliott,4.0,23
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,13.0,16
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.0,45
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,13.0,20
Leonardo da Vinci,Walter Isaacson,21.0,29
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,6.0,16
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,15.0,37
Life,Keith Richards,18.0,22
Little Bee: A Novel,Chris Cleave,10.0,42
Little Blue Truck,Alice Schertle,33.46,32
Little Fires Everywhere,Celeste Ng,12.0,6
Looking for Alaska,John Green,7.0,23
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,13.0,4
Love You Forever,Robert Munsch,5.0,31
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,16.0,9
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,20.0,45
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,11.0,3
"Mastering the Art of French Cooking, Vol. 2",Julia Child,27.0,17
Milk and Honey,Rupi Kaur,8.0,36
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,6.0,47
Mindset: The New Psychology of Success,Carol S. Dweck,10.0,50
Mockingjay (The Hunger Games),Suzanne Collins,8.0,50
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,16.0,31
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,11.0,45
New Moon (The Twilight Saga),Stephenie Meyer,10.0,24
Night (Night),Elie Wiesel,9.0,32
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,14.0,14
Obama: An Intimate Portrait,Pete Souza,22.0,50
"Oh, the Places You'll Go!",Dr. Seuss,8.0,5
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,7.0,40
Olive Kitteridge,Elizabeth Strout,12.0,35
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,13.0,46
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,9.0,0
Origin: A Novel (Robert Langdon),Dan Brown,13.0,17
Orphan Train,Christina Baker Kline,11.0,31
Outliers: The Story of Success,Malcolm Gladwell,20.0,35
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,5.0,41
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,2.0,5
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,27.0,14
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,9.0,23
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,10.0,46
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,46.0,26
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.0,40
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,20.0,44
Radical: Taking Back Your Faith from the American Dream,David Platt,9.0,23
Ready Player One: A Novel,Ernest Cline,12.0,40
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,12.0,30
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,12.0,30
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,20.0,44
Sarah's Key,Tatiana de Rosnay,10.0,10
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,6.0,42
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,9.0,35
Sh*t My Dad Says,Justin Halpern,11.0,20
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,16.0,39
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,6.0,42
Sookie Stackhouse,Charlaine Harris,25.0,37
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,17.0,43
Steve Jobs,Walter Isaacson,20.0,39
Strange Planet (Strange Planet Series),Nathan W. Pyle,6.0,2
StrengthsFinder 2.0,Gallup,17.0,28
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,18.0,0
Switch: How to Change Things When Change Is Hard,Chip Heath,13.0,21
Sycamore Row (Jake Brigance),John Grisham,18.0,48
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,20.0,33
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,22.0,50
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,21.0,21
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,28.0,11
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,8.0,37
The 5000 Year Leap,W. Cleon Skousen,12.0,45
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,24.0,44
The Alchemist,Paulo Coelho,39.0,24
The Amateur,Edward Klein,9.0,21
The Art of Racing in the Rain: A Novel,Garth Stein,10.0,0
The Big Short: Inside the Doomsday Machine,Michael Lewis,17.0,18
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,11.0,0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,14.0,21
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,12.0,14
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,53.0,35
The Book Thief,Markus Zusak,6.0,2
The Book with No Pictures,B. J. Novak,8.0,38
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,12.0,8
The Casual Vacancy,J.K. Rowling,12.0,31
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,21.0,7
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,6.0,18
The Confession: A Novel,John Grisham,13.0,23
The Constitution of the United States,Delegates of the Constitutional,35.32,31
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,11.0,5
The Day the Crayons Quit,Drew Daywalt,9.0,24
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,15.0,39
The Elegance of the Hedgehog,Muriel Barbery,11.0,35
The Fault in Our Stars,John Green,13.0,15
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,6.0,42
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,9.0,33
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,6.0,4
The Getaway,Jeff Kinney,39.4,22
The Girl on the Train,Paula Hawkins,18.0,42
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,14.0,20
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,9.0,20
The Girl Who Played with Fire (Millennium),Stieg Larsson,16.0,17
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,2.0,24
The Going-To-Bed Book,Sandra Boynton,5.0,20
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,20.0,27
The Great Gatsby,F. Scott Fitzgerald,7.0,50
The Guardians: A Novel,John Grisham,14.0,5
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,10.0,26
The Handmaid's Tale,Margaret Atwood,7.0,23
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,13.0,40
The Hate U Give,Angie Thomas,11.0,2
The Help,Kathryn Stockett,6.0,18
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,14.0,11
The Hunger Games,Suzanne Collins,14.0,12
The Hunger Games (Book 1),Suzanne Collins,8.0,50
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,30.0,9
The Immortal Life of Henrietta Lacks,Rebecca Skloot,13.0,24
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,7.0,29
The Last Lecture,Randy Pausch,9.0,24
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,7.0,20
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,20.0,21
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,13.0,49
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,11.0,26
The Litigators,John Grisham,18.0,37
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,14.0,37
The Lost Symbol,Dan Brown,19.0,9
The Love Dare,Stephen Kendrick,13.0,30
The Magnolia Story,Chip Gaines,5.0,18
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,10.0,46
The Martian,Andy Weir,9.0,33
The Maze Runner (Book 1),James Dashner,8.0,39
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,8.0,18
The Mueller Report,The Washington Post,12.0,37
The Nightingale: A Novel,Kristin Hannah,11.0,29
The Official SAT Study Guide,The College Board,40.0,26
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,36.0,36
The Paris Wife: A Novel,Paula McLain,16.0,14
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,17.0,9
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,14.0,49
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,21.0,29
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,18.0,11
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,17.0,11
The Pout-Pout Fish,Deborah Diesen,5.0,48
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,21.0,39
The President Is Missing: A Novel,James Patterson,18.0,30
The Racketeer,John Grisham,18.0,6
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,12.0,34
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,14.0,25
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,12.0,25
The Shack: Where Tragedy Confronts Eternity,William P. Young,8.0,9
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,42.67,41
The Silent Patient,Alex Michaelides,14.0,6
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,10.0,16
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,15.0,37
The Sun and Her Flowers,Rupi Kaur,9.0,34
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,7.0,50
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,10.0,3
The Time Traveler's Wife,Audrey Niffenegger,6.0,24
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9.0,33
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,10.0,17
The Twilight Saga Collection,Stephenie Meyer,82.0,12
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,12.0,31
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,10.0,33
The Very Hungry Caterpillar,Eric Carle,5.0,34
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,16.0,17
The Wonderful Things You Will Be,Emily Winfield Martin,10.0,25
The Wonky Donkey,Craig Smith,4.0,45
The Wright Brothers,David McCullough,16.0,40
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,15.0,15
"Thinking, Fast and Slow",Daniel Kahneman,19.0,20
Thirteen Reasons Why,Jay Asher,9.0,33
Thomas Jefferson: The Art of Power,Jon Meacham,23.0,30
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,11.0,0
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,23.0,16
Tina Fey: Bossypants,Tina Fey,12.0,8
To Kill a Mockingbird,Harper Lee,36.45,38
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,21.0,28
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,21.0,46
True Compass: A Memoir,Edward M. Kennedy,15.0,29
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,9.0,33
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,5.0,31
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,16.0,10
Under the Dome: A Novel,Stephen King,20.0,6
Unfreedom of the Press,Mark R. Levin,11.0,4
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.0,24
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,9.0,22
Watchmen,Alan Moore,42.0,32
Water for Elephants: A Novel,Sara Gruen,12.0,35
What Happened,Hillary Rodham Clinton,18.0,5
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,17.0,33
What Pet Should I Get? (Classic Seuss),Dr. Seuss,14.0,27
What Should Danny Do? (The Power to Choose Series),Adir Levy,13.0,29
What to Expect When You're Expecting,Heidi Murkoff,9.0,11
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,6.0,32
When Breath Becomes Air,Paul Kalanithi,14.0,41
Where the Crawdads Sing,Delia Owens,15.0,41
Where the Wild Things Are,Maurice Sendak,13.0,17
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,12.0,38
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,18.0,9
Winter of the World: Book Two of the Century Trilogy,Ken Follett,15.0,20
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,11.0,45
Wonder,R. J. Palacio,9.0,28
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,8.0,25
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8.0,16
